Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
N;PA;Santarém;M;entre 51 a 60 anos;2025-02-05;10;Magazine Luiza - Loja Online;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;entre 51 a 60 anos;2025-02-07;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;N;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Senhor do Bonfim;M;entre 61 a 70 anos;2025-02-10;25;Itaú Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S;RS;Porto Alegre;F;mais de 70 anos;2025-02-02;;Amazon.com.br;Comércio Eletrônico;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;
SE;SP;Santos;F;entre 51 a 60 anos;2025-02-07;9;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;8;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;8;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;entre 21 a 30 anos;2025-02-01;4;Fast Shop;Varejo;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Entrega do Produto;Não entrega / demora na entrega do produto;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Pedro;F;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberaba;M;entre 41 a 50 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;M;até 20 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;entre 41 a 50 anos;2025-02-04;8;Casas Bahia;Varejo;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;M;até 20 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 31 a 40 anos;2025-02-05;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Funcionamento inadequado do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada não avaliada;Não Avaliada;
N;PA;Belém;F;mais de 70 anos;2025-02-04;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
